name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,3,0,-1.905396691042069,1.337319391055336,-0.01298810833665317,-0.3563056333811161,3.314439277101669,-2.257638645123024,-0.20880727342290917,2.5969478889702398,25,3,1.0,0.33,68.402973
100% Natural Bran,5,0,0.6776234711100315,0.41791230970479254,3.9873492593525564,-1.7370874205101239,-0.06417166894272619,-1.5519356315595347,0.24409864357889371,0.5495729998053812,0,3,1.0,1.0,33.983679
All-Bran,2,0,-1.905396691042069,1.337319391055336,-0.01298810833665317,1.2045781259821102,2.8921129088461193,-1.7871699694140313,-0.4352602319238106,3.161740961843304,25,3,1.0,0.33,59.425505
All-Bran with Extra Fiber,2,0,-2.9386047559029094,1.337319391055336,-1.0130724502589556,-0.23623765189163715,5.003744750123866,-1.5519356315595347,-1.5675250244283179,3.3029392300615705,25,3,1.0,0.5,93.704912
Almond Delight,6,0,0.1610194386796114,-0.501494771645751,0.9870962335856492,0.48417023704523654,-0.4864980371982756,-0.1405296044325563,0.24409864357889371,-1.3707234479630381,25,3,1.0,0.75,34.384843
Apple Cinnamon Cheerios,1,0,0.1610194386796114,-0.501494771645751,0.9870962335856492,0.24403427406627864,-0.2753348530705009,-0.9638497869232937,0.6970045605806966,-0.3682157436133486,25,1,1.0,0.75,29.509541
Apple Jacks,2,0,0.1610194386796114,-0.501494771645751,-1.0130724502589556,-0.41633962412585557,-0.4864980371982756,-0.8462326179960455,1.6028163945843024,-0.9330088164864131,25,2,1.0,1.0,33.174094
Basic 4,1,0,1.1942275035404517,0.41791230970479254,0.9870962335856492,0.6042382185347155,-0.06417166894272619,0.8004077469854294,0.24409864357889371,0.05537906104144977,25,3,1.33,0.75,37.038562
Bran Chex,6,0,-0.8721886261812288,-0.501494771645751,-0.01298810833665317,0.48417023704523654,0.7804810675683727,0.09470473342194012,-0.20880727342290917,0.40837473158711507,25,1,1.0,0.67,49.120253
Bran Flakes,4,0,-0.8721886261812288,0.41791230970479254,-1.0130724502589556,0.6042382185347155,1.202807435823922,-0.37576394228705273,-0.4352602319238106,1.3261634750058449,25,3,1.0,0.67,53.313813
Cap'n'Crunch,5,0,0.6776234711100315,-1.4209018529962945,0.9870962335856492,0.7243062000241944,-0.908824405453825,-0.6109982801415491,1.1499104775824995,-0.86240968237728,25,2,1.0,0.75,18.042851
Cheerios,1,0,0.1610194386796114,3.176133553756423,0.9870962335856492,1.564782070450547,-0.06417166894272619,0.565173409130933,-1.3410720659274165,0.12597819515058284,25,1,1.0,1.25,50.764999
